TMAX,TMIN,TAVG
35.0,17.0,26.0
35.0,17.0,26.0
43.0,20.0,31.5
46.0,21.0,33.5
46.0,29.0,37.5
54.0,32.0,43.0
41.0,23.0,32.0
48.0,22.0,35.0
55.0,33.0,44.0
58.0,22.0,40.0
31.0,17.0,24.0
32.0,16.0,24.0
42.0,15.0,28.5
57.0,27.0,42.0
44.0,20.0,32.0
54.0,17.0,35.5
65.0,29.0,47.0
67.0,36.0,51.5
62.0,37.0,49.5
51.0,33.0,42.0
54.0,23.0,38.5
39.0,17.0,28.0
35.0,20.0,27.5
29.0,20.0,24.5
30.0,3.0,16.5
31.0,3.0,17.0
44.0,18.0,31.0
50.0,24.0,37.0
45.0,27.0,36.0
48.0,19.0,33.5
62.0,28.0,45.0
45.0,23.0,34.0
43.0,23.0,33.0
58.0,27.0,42.5
62.0,28.0,45.0
43.0,24.0,33.5
31.0,9.0,20.0
43.0,7.0,25.0
44.0,20.0,32.0
46.0,15.0,30.5
58.0,19.0,38.5
47.0,15.0,31.0
37.0,18.0,27.5
55.0,19.0,37.0
45.0,12.0,28.5
46.0,11.0,28.5
52.0,18.0,35.0
52.0,30.0,41.0
32.0,8.0,20.0
40.0,18.0,29.0
47.0,21.0,34.0
38.0,18.0,28.0
44.0,16.0,30.0
49.0,17.0,33.0
57.0,34.0,45.5
63.0,28.0,45.5
30.0,13.0,21.5
52.0,19.0,35.5
60.0,31.0,45.5
61.0,29.0,45.0
46.0,26.0,36.0
30.0,25.0,27.5
33.0,15.0,24.0
44.0,7.0,25.5
43.0,19.0,31.0
42.0,22.0,32.0
52.0,23.0,37.5
53.0,23.0,38.0
57.0,26.0,41.5
55.0,28.0,41.5
44.0,20.0,32.0
45.0,20.0,32.5
43.0,19.0,31.0
32.0,24.0,28.0
32.0,19.0,25.5
44.0,17.0,30.5
54.0,17.0,35.5
63.0,37.0,50.0
46.0,24.0,35.0
45.0,16.0,30.5
48.0,24.0,36.0
50.0,26.0,38.0
39.0,22.0,30.5
40.0,21.0,30.5
59.0,22.0,40.5
49.0,26.0,37.5
54.0,19.0,36.5
52.0,16.0,34.0
44.0,11.0,27.5
45.0,4.0,24.5
61.0,27.0,44.0
60.0,25.0,42.5
63.0,23.0,43.0
64.0,29.0,46.5
62.0,32.0,47.0
52.0,29.0,40.5
55.0,26.0,40.5
53.0,19.0,36.0
48.0,10.0,29.0
33.0,15.0,24.0
33.0,11.0,22.0
49.0,15.0,32.0
39.0,9.0,24.0
8.0,-9.0,-0.5
40.0,7.0,23.5
51.0,22.0,36.5
47.0,18.0,32.5
34.0,1.0,17.5
27.0,-2.0,12.5
57.0,18.0,37.5
43.0,24.0,33.5
34.0,19.0,26.5
56.0,24.0,40.0
57.0,30.0,43.5
58.0,30.0,44.0
62.0,34.0,48.0
45.0,24.0,34.5
50.0,18.0,34.0
57.0,22.0,39.5
62.0,24.0,43.0
58.0,24.0,41.0
31.0,17.0,24.0
39.0,16.0,27.5
36.0,16.0,26.0
