location,parameter,value,local_time,sensor_lat,sensor_lon
Boston - Roxbury,pm25,6.4,2023-08-25 19:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.7,2023-08-25 18:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.1,2023-08-25 17:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.2,2023-08-25 16:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.7,2023-08-25 15:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.4,2023-08-25 14:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.1,2023-08-25 13:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.3,2023-08-25 12:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.9,2023-08-25 11:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.7,2023-08-25 10:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.5,2023-08-25 09:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.3,2023-08-25 08:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,1.8,2023-08-25 07:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.4,2023-08-25 06:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.8,2023-08-25 05:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.9,2023-08-25 04:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,2.7,2023-08-25 03:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.3,2023-08-25 02:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-25 01:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.5,2023-08-25 00:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.8,2023-08-24 23:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.8,2023-08-24 22:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,3.9,2023-08-24 21:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.1,2023-08-24 20:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.4,2023-08-24 19:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.2,2023-08-24 18:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.5,2023-08-24 17:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.2,2023-08-24 16:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.7,2023-08-24 15:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.1,2023-08-24 14:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.2,2023-08-24 13:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.1,2023-08-24 12:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-24 11:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.4,2023-08-24 10:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.9,2023-08-24 09:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.0,2023-08-24 08:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,7.0,2023-08-24 07:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.0,2023-08-24 06:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.0,2023-08-24 05:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-24 04:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-24 03:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-24 02:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-24 01:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-24 00:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-23 23:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-23 22:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-23 21:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.0,2023-08-23 20:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-23 19:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.0,2023-08-23 18:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-23 17:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-23 16:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-23 15:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-23 14:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-23 13:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-23 12:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-23 11:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-23 10:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-23 09:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-23 08:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-23 07:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-23 06:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-23 05:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-23 04:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-23 03:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-23 02:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-23 01:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-23 00:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,4.0,2023-08-22 23:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,5.0,2023-08-22 22:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.0,2023-08-22 21:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,9.0,2023-08-22 20:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,9.0,2023-08-22 19:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,8.0,2023-08-22 18:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.0,2023-08-22 17:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.0,2023-08-22 16:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.0,2023-08-22 15:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,6.0,2023-08-22 14:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,7.0,2023-08-22 13:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,7.0,2023-08-22 12:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,8.0,2023-08-22 11:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,9.0,2023-08-22 10:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,8.0,2023-08-22 09:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,8.0,2023-08-22 08:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,8.0,2023-08-22 07:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,9.0,2023-08-22 06:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,8.0,2023-08-22 05:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,8.0,2023-08-22 04:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,10.0,2023-08-22 03:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,11.0,2023-08-22 02:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,11.0,2023-08-22 01:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,12.0,2023-08-22 00:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,16.0,2023-08-21 23:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,17.0,2023-08-21 22:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,16.0,2023-08-21 21:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,19.0,2023-08-21 20:00:00-04:00,42.329399,-71.082497
Boston - Roxbury,pm25,23.0,2023-08-21 19:00:00-04:00,42.329399,-71.082497
